time,signal,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,blinkStrength,
122428,0,50,57,307913,50173,64291,5944,15707,12838,7526,4701,60,
122429,0,57,75,582468,81964,57874,22408,15542,28830,12769,7321,58,
122430,0,60,66,724686,91587,18533,7828,15086,8323,6013,3855,70,
122431,0,63,57,387383,34005,6924,6024,7760,12230,6924,2878,70,
122432,0,61,50,303265,109626,49861,8243,18189,12959,5288,17279,70,
122433,0,69,43,29135,13563,6562,6792,8093,18174,3714,1264,70,
122435,0,74,48,260192,90686,12661,26892,10500,13666,12520,7622,70,
122436,0,83,60,342022,18875,9028,10704,3298,8834,6776,7594,70,
122437,0,75,50,485332,125124,8591,16881,23412,27029,18906,22466,70,
122438,0,77,57,568031,31195,42110,6927,28516,13123,13066,9682,70,
122439,0,75,66,150809,18456,8471,34501,12082,16099,5407,5201,70,
122440,0,77,75,13118,3032,11180,2597,4218,5024,3086,3989,70,
122441,0,77,91,34695,18542,9327,17178,10880,7506,7560,2948,70,
122442,0,81,100,52654,4685,31142,14538,13415,17926,9127,4812,70,
122443,0,80,96,30740,13595,13671,15670,17943,9218,13602,4131,70,
122445,0,84,78,71699,29123,5749,7331,6893,18501,11023,1607,70,
122446,0,88,64,316009,16007,10458,11840,20912,23036,14991,4378,70,
122448,0,91,61,25608,11191,5638,18389,17087,14177,6431,3132,70,
122449,0,90,53,34235,15581,4560,3089,9745,6167,3006,2312,70,
122450,0,87,54,26870,19541,11528,27524,41429,22360,15602,7075,70,
122451,0,88,61,14092,12483,25910,7501,4616,18657,9305,7178,70,
122452,0,88,64,1151839,45432,9136,23721,8430,27949,8981,6668,70,
122453,0,87,69,13717,37298,3647,13024,6875,11201,4779,3698,70,
122454,0,74,80,27825,19462,17978,15884,6873,3693,3698,1760,70,
122455,0,74,64,16099,12408,4424,6264,14663,10258,4869,4486,70,
122456,0,60,69,237754,63998,53840,7131,14261,6217,9135,3123,70,
122457,0,63,70,6033,16533,7202,4186,5937,8977,4775,11490,70,
122458,0,69,54,220578,26715,2386,10113,11848,7523,9315,4465,70,
122459,0,64,48,1054866,178430,23922,8169,15054,32812,18821,3569,70,
122500,0,78,34,292577,43233,10982,5226,16539,18903,15906,2942,70,
122501,0,80,34,7174,29470,11439,9400,13142,21466,19599,2470,70,
122502,0,74,29,149655,133636,8474,24751,18151,12669,13288,4019,70,
122503,0,66,37,121931,85828,18095,8505,10538,8716,12812,14129,70,
122504,0,63,26,486811,144186,1960,17968,42714,31861,22807,8656,70,
122505,0,56,30,717164,23456,8695,12992,9286,7645,3415,3400,70,
122506,0,64,48,24583,18048,38435,16200,31561,14536,22927,2463,39,
122508,0,61,54,307625,196064,74947,42985,46994,16699,35304,7155,39,
122509,0,69,78,24481,22453,5029,12163,6680,11504,14090,3706,39,
122510,0,69,63,2261033,397890,47444,79045,140160,108921,2454,1828,39,
122512,0,88,50,615214,34001,5123,8856,24360,35928,12449,4937,39,
